,Время,Сумма
470,14.10.2019,307091.1
471,15.10.2019,318796.0
472,16.10.2019,298639.77
473,17.10.2019,339730.13
474,18.10.2019,408423.46
475,19.10.2019,393360.52
476,20.10.2019,266653.2
477,21.10.2019,285065.52
478,22.10.2019,299629.72
479,23.10.2019,289577.42
480,24.10.2019,316395.38
481,25.10.2019,405240.39
482,26.10.2019,387094.2
483,27.10.2019,303100.33
484,28.10.2019,300320.57
485,29.10.2019,328748.41
486,30.10.2019,317235.08
487,31.10.2019,327532.65
488,01.11.2019,375517.42
489,02.11.2019,447864.86
490,03.11.2019,339215.37
491,04.11.2019,288439.26
492,05.11.2019,284964.69
493,06.11.2019,290887.07
494,07.11.2019,340970.63
495,08.11.2019,405919.56
496,09.11.2019,384804.5
497,10.11.2019,272919.35
498,11.11.2019,326615.5
499,12.11.2019,322749.79
500,13.11.2019,282080.22
501,14.11.2019,330119.97
502,15.11.2019,393846.45
503,16.11.2019,386200.59
504,17.11.2019,263540.62
505,18.11.2019,300105.76
506,19.11.2019,295193.46
507,20.11.2019,268010.53
508,21.11.2019,324207.76
509,22.11.2019,378388.72
510,23.11.2019,366432.87
511,24.11.2019,274034.37
512,25.11.2019,287410.31
513,26.11.2019,302719.21
514,27.11.2019,303793.84
515,28.11.2019,307061.29
516,29.11.2019,344331.99
517,30.11.2019,321595.49
518,01.12.2019,265342.96
519,02.12.2019,312169.45
520,03.12.2019,305993.87
521,04.12.2019,257635.24
522,05.12.2019,310989.72
523,06.12.2019,359873.32
524,07.12.2019,317636.97
525,08.12.2019,287348.86
526,09.12.2019,282757.01
527,10.12.2019,355062.91
528,11.12.2019,324051.46
529,12.12.2019,341811.03
530,13.12.2019,401871.99
531,14.12.2019,354357.18
532,15.12.2019,311869.15
533,16.12.2019,321113.34
534,17.12.2019,333317.94
535,18.12.2019,295903.05
536,19.12.2019,318315.43
537,20.12.2019,369312.9
538,21.12.2019,385480.52
539,22.12.2019,278233.27
540,23.12.2019,352527.85
541,24.12.2019,345521.89
542,25.12.2019,343240.77
543,26.12.2019,392755.94
544,27.12.2019,442323.62
545,28.12.2019,439186.16
546,29.12.2019,463692.93
547,30.12.2019,551498.4
548,31.12.2019,559640.84
549,01.01.2020,180087.95
550,02.01.2020,320879.61
551,03.01.2020,329682.65
552,04.01.2020,354753.56
553,05.01.2020,319182.5
554,06.01.2020,358093.68
555,07.01.2020,296385.46
556,08.01.2020,261659.18
557,09.01.2020,306855.94
558,10.01.2020,327378.62
559,11.01.2020,328264.29
560,12.01.2020,223937.4
561,13.01.2020,277806.9
562,14.01.2020,271775.14
563,15.01.2020,264056.7
564,16.01.2020,340136.78
565,17.01.2020,318323.54
566,18.01.2020,310961.74
567,19.01.2020,279894.85
568,20.01.2020,280045.43
569,21.01.2020,273427.6
570,22.01.2020,273787.63
571,23.01.2020,290377.0
572,24.01.2020,328845.23
573,25.01.2020,366583.52
574,26.01.2020,258658.61
575,27.01.2020,269359.69
576,28.01.2020,254656.46
577,29.01.2020,270014.11
578,30.01.2020,280044.67
579,31.01.2020,353935.37
580,01.02.2020,336140.77
581,02.02.2020,236143.19
582,03.02.2020,254447.73
583,04.02.2020,266130.74
584,05.02.2020,271038.77
585,06.02.2020,297876.55
586,07.02.2020,356547.67
587,08.02.2020,382589.42
588,09.02.2020,260165.07
589,10.02.2020,288906.71
590,11.02.2020,332040.33
591,12.02.2020,303538.62
592,13.02.2020,294753.41
593,14.02.2020,397148.66
594,15.02.2020,331942.5
595,16.02.2020,229091.7
596,17.02.2020,278776.61
597,18.02.2020,325241.07
598,19.02.2020,279582.38
599,20.02.2020,314444.61
600,21.02.2020,399709.82
601,22.02.2020,397064.68
602,23.02.2020,361832.93
603,24.02.2020,260854.45
604,25.02.2020,309696.22
605,26.02.2020,287045.93
606,27.02.2020,288122.76
607,28.02.2020,330203.62
608,29.02.2020,332667.85
609,01.03.2020,256546.85
610,02.03.2020,244387.76
611,03.03.2020,288289.49
612,04.03.2020,257072.81
613,05.03.2020,342976.19
614,06.03.2020,410131.91
