DATE,value
01/09/2010,116.0686
01/10/2010,97.7520
01/11/2010,81.0871
01/12/2010,72.7801
01/01/2011,92.6110
01/02/2011,106.1656
01/03/2011,114.2484
01/04/2011,116.6234
01/05/2011,116.1365
01/06/2011,120.7737
01/07/2011,116.2615
01/08/2011,115.0031
01/09/2011,101.7561
01/10/2011,91.1014
01/11/2011,76.5099
01/12/2011,71.4595
01/01/2012,85.3987
01/02/2012,99.5615
01/03/2012,112.4868
01/04/2012,114.8111
01/05/2012,114.5660
01/06/2012,124.3428
01/07/2012,112.3270
01/08/2012,107.6430
01/09/2012,96.3700
01/10/2012,88.8864
01/11/2012,74.8375
01/12/2012,68.7691
01/01/2013,78.1175
01/02/2013,98.0341
01/03/2013,107.8837
01/04/2013,107.9098
01/05/2013,110.9130
01/06/2013,128.6909
01/07/2013,112.3692
01/08/2013,106.0546
01/09/2013,98.1912
01/10/2013,90.9982
01/11/2013,80.0694
01/12/2013,67.8031
01/01/2014,86.3975
01/02/2014,101.7308
01/03/2014,113.7756
01/04/2014,119.3533
01/05/2014,116.6308
01/06/2014,131.0397
01/07/2014,117.2721
01/08/2014,111.4180
01/09/2014,100.6174
01/10/2014,91.2615
01/11/2014,86.5723
01/12/2014,75.3749
01/01/2015,85.5769
01/02/2015,100.5580
01/03/2015,109.5789
01/04/2015,108.3617
01/05/2015,106.0577
01/06/2015,116.1377
01/07/2015,108.3776
01/08/2015,112.2052
01/09/2015,100.3483
01/10/2015,93.9317
01/11/2015,85.8640
01/12/2015,76.9749
01/01/2016,92.8105
01/02/2016,101.9743
01/03/2016,116.1793
01/04/2016,124.2106
01/05/2016,121.5435
01/06/2016,132.9865
01/07/2016,124.8514
01/08/2016,121.3321
01/09/2016,108.0359
01/10/2016,101.3836
01/11/2016,86.6647
01/12/2016,81.2569
01/01/2017,94.2454
01/02/2017,112.3879
01/03/2017,119.6982
01/04/2017,123.2282
01/05/2017,116.0635
01/06/2017,123.0870
01/07/2017,116.2639
01/08/2017,113.1717
01/09/2017,97.9125
01/10/2017,90.4732
01/11/2017,77.4378
01/12/2017,75.8118
01/01/2018,83.4343
01/02/2018,99.4899
01/03/2018,107.3152
01/04/2018,112.4309
01/05/2018,110.3544
01/06/2018,124.5841
01/07/2018,117.2215
01/08/2018,112.6779
01/09/2018,103.3118
01/10/2018,92.1321
01/11/2018,82.4347
01/12/2018,76.7608
01/01/2019,86.9988
01/02/2019,98.1116
01/03/2019,116.1718
01/04/2019,114.9703
01/05/2019,114.5613
01/06/2019,124.9605
01/07/2019,110.2632
01/08/2019,102.6085
01/09/2019,100.1741
01/10/2019,90.1684
01/11/2019,79.7223
01/12/2019,77.8855
